sl_nr;messstelle_id;messstelle_sl_nr;datum_pn;stoff_nr;probengut;messergebnis_c;messergebnis_hinweis;bestimmungsgrenze;masseinheit;trennverfahren;verfahren;vor_ort
9754753;021172304;3530;1969-07-24;1182;Grundwasser;0,06000;                                                  ;;mg/l;Gesamtgehalt;DEV(7) E1/1; 
9754745;021172304;3530;1969-07-24;1011;Grundwasser;10,00000;                                                  ;;°C;Gesamtgehalt;DIN 38404-C4 DEZEMBER 1976;ja
9754750;021172304;3530;1969-07-24;1313;Grundwasser;10,00000;                                                  ;;mg/l;Gesamtgehalt;DEV D5-1 6.LIEFERUNG 1971; 
9754754;021172304;3530;1969-07-24;1171;Grundwasser;0,04000;                                                  ;;mg/l;Gesamtgehalt;DIN 38406-E2 MAI 1983; 
9760864;021172304;3530;1969-07-24;1224;Grundwasser;42,70000;                                                  ;;mg/l;Nach Laborjournal;; 
9754752;021172304;3530;1969-07-24;1249;Grundwasser;1,93798;                                                  ;;mg/l;Gesamtgehalt;DEV E5/1; 
9754747;021172304;3530;1969-07-24;1061;Grundwasser;7,36000;                                                  ;;-;Gesamtgehalt;DIN 38404-C5 JANUAR 1984;ja
9754749;021172304;3530;1969-07-24;1331;Grundwasser;45,00000;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D1-1 DEZEMBER 1985; 
9754751;021172304;3530;1969-07-24;1245;Grundwasser;0,13553;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
9754746;021172304;3530;1969-07-24;1029;Grundwasser;50,00000;                                                  ;;FNU;Gesamtgehalt;; 
12409959;021172304;3530;1969-07-24;1244;Grundwasser;0,59999;                                                  ;;mg/l;Gesamtgehalt;DIN 38405-D9-2 MAI 1979; 
12609971;010410144;49087;1951-04-30;1246;Grundwasser;2,62399;                                                  ;;mg/l;Gesamtgehalt;; 
12922107;021172304;3530;1969-07-24;1248;Grundwasser;2,49612;                                                  ;;mg/l;Gesamtgehalt;DEV E5/1; 
12887387;010410144;49087;1951-04-30;1248;Grundwasser;1,53760;                                                  ;;mg/l;Gesamtgehalt;; 
9760861;021172304;3530;1969-07-24;1482;Grundwasser;0,50000;                                                  ;;mmol/l;Gesamtgehalt;; 
16711025;219279317;35574;1969-11-04;1015;Grundwasser;14,30000;                                                  ;;°C;Gesamtgehalt;nach Laborjournal; 
16652408;218209319;31439;1969-12-02;1011;Grundwasser;10,50000;                                                  ;;°C;Gesamtgehalt;DIN 38404-C4 DEZEMBER 1976 ;ja
16652409;218209319;31439;1969-12-02;1432;Grundwasser;322,00000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
16652410;218209319;31439;1969-12-02;1433;Grundwasser;272,00000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
16652411;218209319;31439;1969-12-02;1531;Grundwasser;6,00000;                                                  ;;mg/l;Membranfilter;nach Laborjournal; 
16652412;218209319;31439;1969-12-02;1248;Grundwasser;0,43000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
16652413;218209319;31439;1969-12-02;1249;Grundwasser;0,33000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
16652414;218209319;31439;1969-12-02;1244;Grundwasser;<0,90000;Konzentration zu gering zur Bestimmung            ;0,90000;mg/l;Gesamtgehalt;nach Laborjournal; 
16652415;218209319;31439;1969-12-02;1245;Grundwasser;<0,20000;Konzentration zu gering zur Bestimmung            ;0,20000;mg/l;Gesamtgehalt;nach Laborjournal; 
16652416;218209319;31439;1969-12-02;1262;Grundwasser;0,04000;                                                  ;;mg/l;Membranfilter;nach Laborjournal; 
16652417;218209319;31439;1969-12-02;1261;Grundwasser;0,12000;                                                  ;;mg/l;Membranfilter;nach Laborjournal; 
16652418;218209319;31439;1969-12-02;1331;Grundwasser;10,00000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
16652419;218209319;31439;1969-12-02;1313;Grundwasser;10,00000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
16652420;218209319;31439;1969-12-02;1472;Grundwasser;5,60000;                                                  ;;mmol/l;Gesamtgehalt;nach Laborjournal; 
16652421;218209319;31439;1969-12-02;1112;Grundwasser;4,00000;                                                  ;;mg/l;Gesamtgehalt;nach Laborjournal; 
