messstelle_id,e32,e32num,n32,n32num,genau
288088440,326802,326802.0,5663553,5663553.0,1
288088517,326802,326802.0,5663552,5663552.0,1
288088529,326802,326802.0,5663552,5663552.0,1
288088530,326802,326802.0,5663552,5663552.0,1
288088542,326802,326802.0,5663552,5663552.0,1
288088610,326802,326802.0,5663550,5663550.0,1
288088621,326802,326802.0,5663550,5663550.0,1
288088633,326802,326802.0,5663550,5663550.0,1
288088645,326802,326802.0,5663550,5663550.0,1
288088712,326756,326756.0,5663543,5663543.0,1
288088724,326756,326756.0,5663543,5663543.0,1
288088736,326756,326756.0,5663543,5663543.0,1
288088748,326756,326756.0,5663543,5663543.0,1
288088815,326755,326755.0,5663545,5663545.0,1
288088827,326755,326755.0,5663545,5663545.0,1
288088839,326755,326755.0,5663545,5663545.0,1
288088840,326755,326755.0,5663545,5663545.0,1
288088918,326754,326754.0,5663546,5663546.0,1
288088920,326754,326754.0,5663546,5663546.0,1
288088931,326754,326754.0,5663546,5663546.0,1
288088943,326754,326754.0,5663546,5663546.0,1
288089017,326744,326744.0,5663545,5663545.0,1
288089029,326744,326744.0,5663545,5663545.0,1
288089030,326744,326744.0,5663545,5663545.0,1
288089042,326744,326744.0,5663545,5663545.0,1
288089110,326744,326744.0,5663546,5663546.0,1
288089121,326744,326744.0,5663546,5663546.0,1
288089133,326744,326744.0,5663546,5663546.0,1
288089145,326744,326744.0,5663546,5663546.0,1
288089510,326717,326717.0,5663526,5663526.0,1
288089522,326717,326717.0,5663526,5663526.0,1
288089534,326717,326717.0,5663526,5663526.0,1
288089546,326717,326717.0,5663526,5663526.0,1
288089613,326705,326705.0,5663525,5663525.0,1
288089625,326705,326705.0,5663525,5663525.0,1
288089637,326705,326705.0,5663525,5663525.0,1
288089649,326705,326705.0,5663525,5663525.0,1
288089716,326705,326705.0,5663527,5663527.0,1
288089728,326705,326705.0,5663527,5663527.0,1
288089730,326705,326705.0,5663527,5663527.0,1
288089741,326705,326705.0,5663527,5663527.0,1
288089819,326704,326704.0,5663528,5663528.0,1
288089820,326704,326704.0,5663528,5663528.0,1
288089832,326704,326704.0,5663528,5663528.0,1
288089844,326704,326704.0,5663528,5663528.0,1
288089911,326880,326880.0,5663570,5663570.0,1
288089923,326880,326880.0,5663570,5663570.0,1
288089935,326880,326880.0,5663570,5663570.0,1
288089947,326880,326880.0,5663570,5663570.0,1
288090214,314311,314311.0,5668261,5668261.0,1
288090317,315758,315758.0,5668245,5668245.0,1
288090329,315758,315758.0,5668245,5668245.0,1
288090410,324834,324834.0,5662124,5662124.0,1
288090421,324834,324834.0,5662124,5662124.0,1
288090433,324834,324834.0,5662124,5662124.0,1
288090512,324872,324872.0,5662641,5662641.0,1
288090524,324872,324872.0,5662641,5662641.0,1
288090536,324872,324872.0,5662641,5662641.0,1
288090615,322380,322380.0,5657964,5657964.0,1
288090627,322380,322380.0,5657964,5657964.0,1
288090639,322380,322380.0,5657964,5657964.0,1
288090810,322404,322404.0,5665991,5665991.0,1
288090822,322404,322404.0,5665991,5665991.0,1
288090834,322404,322404.0,5665991,5665991.0,1
288090846,322404,322404.0,5665991,5665991.0,1
288090858,322404,322404.0,5665991,5665991.0,1
288090913,325609,325609.0,5667985,5667985.0,1
288090925,325609,325609.0,5667985,5667985.0,1
288090937,325609,325609.0,5667985,5667985.0,1
288091012,300448,300448.0,5685152,5685152.0,1
288091024,300448,300448.0,5685152,5685152.0,1
288091036,300448,300448.0,5685152,5685152.0,1
288091115,322043,322043.0,5669749,5669749.0,1
288091814,324691,324691.0,5660164,5660164.0,1
288091826,324691,324691.0,5660164,5660164.0,1
288091838,324691,324691.0,5660164,5660164.0,1
288091840,324691,324691.0,5660164,5660164.0,1
288091917,327485,327485.0,5662041,5662041.0,1
288091929,327485,327485.0,5662041,5662041.0,1
288091930,3274xx,327450.0,56620xx,5662050.0,100
288092016,321920,321920.0,5668688,5668688.0,1
288092314,326879,326879.0,5663573,5663573.0,1
288092326,326879,326879.0,5663573,5663573.0,1
288092338,326879,326879.0,5663573,5663573.0,1
288092340,326879,326879.0,5663573,5663573.0,1
288092417,326878,326878.0,5663574,5663574.0,1
288092429,326878,326878.0,5663574,5663574.0,1
288092430,326878,326878.0,5663574,5663574.0,1
288092442,326878,326878.0,5663574,5663574.0,1
288092510,326869,326869.0,5663573,5663573.0,1
288092521,326869,326869.0,5663573,5663573.0,1
288092533,326869,326869.0,5663573,5663573.0,1
288092545,326869,326869.0,5663573,5663573.0,1
288092612,326869,326869.0,5663573,5663573.0,1
288092624,326869,326869.0,5663573,5663573.0,1
288092636,326869,326869.0,5663573,5663573.0,1
288092648,326869,326869.0,5663573,5663573.0,1
288092715,326868,326868.0,5663575,5663575.0,1
288092727,326868,326868.0,5663575,5663575.0,1
288092739,326868,326868.0,5663575,5663575.0,1
288092740,326868,326868.0,5663575,5663575.0,1
288092910,326728,326728.0,5663533,5663533.0,1
288092922,326728,326728.0,5663533,5663533.0,1
288092934,326728,326728.0,5663533,5663533.0,1
288092946,326728,326728.0,5663533,5663533.0,1
288093410,326870,326870.0,5663571,5663571.0,1
288093513,326877,326877.0,5663574,5663574.0,1
288093811,327728,327728.0,5663826,5663826.0,1
288093914,324374,324374.0,5662635,5662635.0,1
288093926,324374,324374.0,5662635,5662635.0,1
288093938,324374,324374.0,5662635,5662635.0,1
288094219,307579,307579.0,5674520,5674520.0,1
288094311,307539,307539.0,5680533,5680533.0,1
288094815,312630,312630.0,5671333,5671333.0,1
288094827,312630,312630.0,5671333,5671333.0,1
288094839,312630,312630.0,5671333,5671333.0,1
288095110,324027,324027.0,5662071,5662071.0,1
288095121,324027,324027.0,5662071,5662071.0,1
288095212,323424,323424.0,5662673,5662673.0,1
288095224,323424,323424.0,5662673,5662673.0,1
288095418,326657,326657.0,5663518,5663518.0,1
288095510,3229xx,322950.0,56570xx,5657050.0,100
288095522,3229xx,322950.0,56570xx,5657050.0,100
288095534,3229xx,322950.0,56570xx,5657050.0,100
288096319,301216,301216.0,5677933,5677933.0,1
288096320,301216,301216.0,5677933,5677933.0,1
288096332,301216,301216.0,5677933,5677933.0,1
288096344,301216,301216.0,5677933,5677933.0,1
288096411,303062,303062.0,5678587,5678587.0,1
288096423,303062,303062.0,5678587,5678587.0,1
288096435,303062,303062.0,5678587,5678587.0,1
288096447,303062,303062.0,5678587,5678587.0,1
288096459,303062,303062.0,5678587,5678587.0,1
288096514,313449,313449.0,5670416,5670416.0,1
288096526,313449,313449.0,5670416,5670416.0,1
288096538,313449,313449.0,5670416,5670416.0,1
288096617,326473,326473.0,5660784,5660784.0,1
288096710,312964,312964.0,5672189,5672189.0,1
288096721,312964,312964.0,5672189,5672189.0,1
288096812,323467,323467.0,5659662,5659662.0,1
